home_team,home_team_city,away_team,away_team_city,double_legged_status,distance
Lugano,Lugano,Crvena zvezda,Belgrade,,907.0963354080393
Lugano,Lugano,Čukarički,Belgrade,,907.0963354080393
Lyon,Lyon,Barcelona,Barcelona,1,531.9745580496988
Tottenham Hotspur,London,Monaco,Monaco,1,1031.399771644669
Liverpool,Liverpool,Inter,Milan,1,1244.2525535952211
RB Leipzig,Leipzig,Eintracht Frankfurt,Frankfurt,1,293.50064323590357
Braga,Braga,Salzburg,Salzburg,1,1828.0665692120233
Club Brugge,Bruges,Galatasaray,Istanbul,1,2269.252064209418
AC Milan,Milan,Dynamo Kyiv,Bucharest,1,1333.5446619540085
Roma,Rome,Manchester United,Manchester,1,1689.0033630997116
