replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,137,Linfield,10.0,Belfast,NIR,Braga,48.0,Braga,POR,1463.0
1,138,Linfield,10.0,Belfast,NIR,Real Madrid,112.0,Madrid,ESP,1585.0
1,139,Linfield,10.0,Belfast,NIR,Barcelona,78.0,Barcelona,ESP,1586.0
1,140,Linfield,10.0,Belfast,NIR,Bodø/Glimt,24.5,Bodø,NOR,1770.0
1,141,Aberdeen,7.5,Aberdeen,SCO,Slavia Praha,42.0,Prague,CZE,1339.0
1,142,Aberdeen,7.5,Aberdeen,SCO,Villarreal,68.0,Villarreal,ESP,1916.0
1,143,Aberdeen,7.5,Aberdeen,SCO,Sevilla,84.0,Seville,ESP,2216.0
1,144,Aberdeen,7.5,Aberdeen,SCO,Qarabağ,26.0,Baku,AZE,4113.0
2,1,Inter,90.0,Milan,ITA,Young Boys,32.5,Bern,SUI,213.0
2,2,Inter,90.0,Milan,ITA,Bayern,126.0,Munich,GER,348.0
2,3,Inter,90.0,Milan,ITA,Marseille,34.0,Marseille,FRA,388.0
2,4,Inter,90.0,Milan,ITA,Eintracht Frankfurt,57.0,Frankfurt,GER,518.0
2,5,Manchester City,130.0,Manchester,ENG,Linfield,10.0,Belfast,NIR,271.0
2,6,Manchester City,130.0,Manchester,ENG,Rangers,52.0,Glasgow,SCO,294.0
2,7,Manchester City,130.0,Manchester,ENG,Feyenoord,57.0,Rotterdam,NED,485.0
2,8,Manchester City,130.0,Manchester,ENG,Inter,90.0,Milan,ITA,1212.0
2,9,Bayern,126.0,Munich,GER,LASK,34.0,Linz,AUT,201.0
2,10,Bayern,126.0,Munich,GER,Juventus,80.0,Turin,ITA,452.0
2,11,Bayern,126.0,Munich,GER,Fiorentina,24.0,Florence,ITA,486.0
2,12,Bayern,126.0,Munich,GER,Chelsea,96.0,London,ENG,919.0
2,13,Real Madrid,112.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
2,14,Real Madrid,112.0,Madrid,ESP,Lens,11.266,Lens,FRA,1223.0
2,15,Real Madrid,112.0,Madrid,ESP,Arsenal,58.0,London,ENG,1263.0
2,16,Real Madrid,112.0,Madrid,ESP,Liverpool,100.0,Liverpool,ENG,1446.0
2,17,Liverpool,100.0,Liverpool,ENG,Aberdeen,7.5,Aberdeen,SCO,420.0
2,18,Liverpool,100.0,Liverpool,ENG,AZ Alkmaar,48.0,Alkmaar,NED,526.0
2,19,Liverpool,100.0,Liverpool,ENG,Bayer 04 Leverkusen,67.0,Leverkusen,GER,729.0
2,20,Liverpool,100.0,Liverpool,ENG,Roma,86.0,Rome,ITA,1720.0
2,21,Chelsea,96.0,London,ENG,PSV,43.0,Eindhoven,NED,388.0
2,22,Chelsea,96.0,London,ENG,Genk,13.0,Genk,BEL,398.0
2,23,Chelsea,96.0,London,ENG,Borussia Dortmund,75.0,Dortmund,GER,525.0
2,24,Chelsea,96.0,London,ENG,Real Madrid,112.0,Madrid,ESP,1263.0
2,25,Manchester United,91.0,Manchester,ENG,Rennes,37.0,Rennes,FRA,598.0
2,26,Manchester United,91.0,Manchester,ENG,Barcelona,78.0,Barcelona,ESP,1385.0
2,27,Manchester United,91.0,Manchester,ENG,Bodø/Glimt,24.5,Bodø,NOR,1773.0
2,28,Manchester United,91.0,Manchester,ENG,Sevilla,84.0,Seville,ESP,1812.0
2,29,Roma,86.0,Rome,ITA,Crvena zvezda,40.0,Belgrade,SRB,718.0
2,30,Roma,86.0,Rome,ITA,Villarreal,68.0,Villarreal,ESP,1079.0
2,31,Roma,86.0,Rome,ITA,Real Betis,31.0,Seville,ESP,1656.0
2,32,Roma,86.0,Rome,ITA,Manchester United,91.0,Manchester,ENG,1689.0
2,33,Sevilla,84.0,Seville,ESP,Napoli,71.0,Naples,ITA,1785.0
2,34,Sevilla,84.0,Seville,ESP,Manchester City,130.0,Manchester,ENG,1812.0
2,35,Sevilla,84.0,Seville,ESP,Slavia Praha,42.0,Prague,CZE,2151.0
2,36,Sevilla,84.0,Seville,ESP,Qarabağ,26.0,Baku,AZE,4767.0
2,37,Juventus,80.0,Turin,ITA,Young Boys,32.5,Bern,SUI,210.0
2,38,Juventus,80.0,Turin,ITA,Marseille,34.0,Marseille,FRA,270.0
2,39,Juventus,80.0,Turin,ITA,Eintracht Frankfurt,57.0,Frankfurt,GER,565.0
2,40,Juventus,80.0,Turin,ITA,Chelsea,96.0,London,ENG,919.0
2,41,Barcelona,78.0,Barcelona,ESP,Juventus,80.0,Turin,ITA,606.0
2,42,Barcelona,78.0,Barcelona,ESP,Inter,90.0,Milan,ITA,725.0
2,43,Barcelona,78.0,Barcelona,ESP,Fiorentina,24.0,Florence,ITA,789.0
2,44,Barcelona,78.0,Barcelona,ESP,Rennes,37.0,Rennes,FRA,808.0
2,45,Borussia Dortmund,75.0,Dortmund,GER,PSV,43.0,Eindhoven,NED,139.0
2,46,Borussia Dortmund,75.0,Dortmund,GER,Genk,13.0,Genk,BEL,149.0
2,47,Borussia Dortmund,75.0,Dortmund,GER,Feyenoord,57.0,Rotterdam,NED,211.0
2,48,Borussia Dortmund,75.0,Dortmund,GER,Manchester United,91.0,Manchester,ENG,692.0
2,49,Napoli,71.0,Naples,ITA,Crvena zvezda,40.0,Belgrade,SRB,667.0
2,50,Napoli,71.0,Naples,ITA,Bayern,126.0,Munich,GER,837.0
2,51,Napoli,71.0,Naples,ITA,Barcelona,78.0,Barcelona,ESP,1014.0
2,52,Napoli,71.0,Naples,ITA,Lens,11.266,Lens,FRA,1384.0
2,53,Villarreal,68.0,Villarreal,ESP,Braga,48.0,Braga,POR,724.0
2,54,Villarreal,68.0,Villarreal,ESP,Napoli,71.0,Naples,ITA,1219.0
2,55,Villarreal,68.0,Villarreal,ESP,Liverpool,100.0,Liverpool,ENG,1510.0
2,56,Villarreal,68.0,Villarreal,ESP,Linfield,10.0,Belfast,NIR,1684.0
2,57,Bayer 04 Leverkusen,67.0,Leverkusen,GER,AZ Alkmaar,48.0,Alkmaar,NED,233.0
2,58,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Arsenal,58.0,London,ENG,498.0
2,59,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Manchester City,130.0,Manchester,ENG,684.0
2,60,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Aberdeen,7.5,Aberdeen,SCO,899.0
2,61,Arsenal,58.0,London,ENG,Borussia Dortmund,75.0,Dortmund,GER,525.0
2,62,Arsenal,58.0,London,ENG,Rangers,52.0,Glasgow,SCO,555.0
2,63,Arsenal,58.0,London,ENG,Roma,86.0,Rome,ITA,1434.0
2,64,Arsenal,58.0,London,ENG,Real Betis,31.0,Seville,ESP,1636.0
2,65,Eintracht Frankfurt,57.0,Frankfurt,GER,Slavia Praha,42.0,Prague,CZE,411.0
2,66,Eintracht Frankfurt,57.0,Frankfurt,GER,Villarreal,68.0,Villarreal,ESP,1320.0
2,67,Eintracht Frankfurt,57.0,Frankfurt,GER,Real Madrid,112.0,Madrid,ESP,1446.0
2,68,Eintracht Frankfurt,57.0,Frankfurt,GER,Bodø/Glimt,24.5,Bodø,NOR,1935.0
2,69,Feyenoord,57.0,Rotterdam,NED,Bayer 04 Leverkusen,67.0,Leverkusen,GER,199.0
2,70,Feyenoord,57.0,Rotterdam,NED,LASK,34.0,Linz,AUT,805.0
2,71,Feyenoord,57.0,Rotterdam,NED,Sevilla,84.0,Seville,ESP,1811.0
2,72,Feyenoord,57.0,Rotterdam,NED,Qarabağ,26.0,Baku,AZE,3657.0
2,73,Rangers,52.0,Glasgow,SCO,Linfield,10.0,Belfast,NIR,176.0
2,74,Rangers,52.0,Glasgow,SCO,Liverpool,100.0,Liverpool,ENG,284.0
2,75,Rangers,52.0,Glasgow,SCO,AZ Alkmaar,48.0,Alkmaar,NED,686.0
2,76,Rangers,52.0,Glasgow,SCO,Feyenoord,57.0,Rotterdam,NED,720.0
2,77,Braga,48.0,Braga,POR,Sevilla,84.0,Seville,ESP,508.0
2,78,Braga,48.0,Braga,POR,Real Betis,31.0,Seville,ESP,508.0
2,79,Braga,48.0,Braga,POR,Barcelona,78.0,Barcelona,ESP,884.0
2,80,Braga,48.0,Braga,POR,Rennes,37.0,Rennes,FRA,904.0
2,81,AZ Alkmaar,48.0,Alkmaar,NED,Genk,13.0,Genk,BEL,193.0
2,82,AZ Alkmaar,48.0,Alkmaar,NED,Borussia Dortmund,75.0,Dortmund,GER,223.0
2,83,AZ Alkmaar,48.0,Alkmaar,NED,Chelsea,96.0,London,ENG,357.0
2,84,AZ Alkmaar,48.0,Alkmaar,NED,Slavia Praha,42.0,Prague,CZE,729.0
2,85,PSV,43.0,Eindhoven,NED,Bayer 04 Leverkusen,67.0,Leverkusen,GER,115.0
2,86,PSV,43.0,Eindhoven,NED,Lens,11.266,Lens,FRA,217.0
2,87,PSV,43.0,Eindhoven,NED,Manchester City,130.0,Manchester,ENG,569.0
2,88,PSV,43.0,Eindhoven,NED,LASK,34.0,Linz,AUT,720.0
2,89,Slavia Praha,42.0,Prague,CZE,Bayern,126.0,Munich,GER,300.0
2,90,Slavia Praha,42.0,Prague,CZE,Young Boys,32.5,Bern,SUI,621.0
2,91,Slavia Praha,42.0,Prague,CZE,PSV,43.0,Eindhoven,NED,648.0
2,92,Slavia Praha,42.0,Prague,CZE,Juventus,80.0,Turin,ITA,752.0
2,93,Crvena zvezda,40.0,Belgrade,SRB,Fiorentina,24.0,Florence,ITA,740.0
2,94,Crvena zvezda,40.0,Belgrade,SRB,Inter,90.0,Milan,ITA,886.0
2,95,Crvena zvezda,40.0,Belgrade,SRB,Eintracht Frankfurt,57.0,Frankfurt,GER,1063.0
2,96,Crvena zvezda,40.0,Belgrade,SRB,Marseille,34.0,Marseille,FRA,1215.0
2,97,Rennes,37.0,Rennes,FRA,Arsenal,58.0,London,ENG,393.0
2,98,Rennes,37.0,Rennes,FRA,Real Madrid,112.0,Madrid,ESP,871.0
2,99,Rennes,37.0,Rennes,FRA,Rangers,52.0,Glasgow,SCO,879.0
2,100,Rennes,37.0,Rennes,FRA,Aberdeen,7.5,Aberdeen,SCO,1005.0
2,101,LASK,34.0,Linz,AUT,Crvena zvezda,40.0,Belgrade,SRB,613.0
2,102,LASK,34.0,Linz,AUT,Roma,86.0,Rome,ITA,726.0
2,103,LASK,34.0,Linz,AUT,Napoli,71.0,Naples,ITA,829.0
2,104,LASK,34.0,Linz,AUT,Bodø/Glimt,24.5,Bodø,NOR,2110.0
2,105,Marseille,34.0,Marseille,FRA,Villarreal,68.0,Villarreal,ESP,586.0
2,106,Marseille,34.0,Marseille,FRA,Braga,48.0,Braga,POR,1149.0
2,107,Marseille,34.0,Marseille,FRA,Manchester United,91.0,Manchester,ENG,1263.0
2,108,Marseille,34.0,Marseille,FRA,Qarabağ,26.0,Baku,AZE,3659.0
2,109,Young Boys,32.5,Bern,SUI,Bayern,126.0,Munich,GER,337.0
2,110,Young Boys,32.5,Bern,SUI,Eintracht Frankfurt,57.0,Frankfurt,GER,363.0
2,111,Young Boys,32.5,Bern,SUI,Marseille,34.0,Marseille,FRA,437.0
2,112,Young Boys,32.5,Bern,SUI,Fiorentina,24.0,Florence,ITA,462.0
2,113,Real Betis,31.0,Seville,ESP,Rennes,37.0,Rennes,FRA,1243.0
2,114,Real Betis,31.0,Seville,ESP,Juventus,80.0,Turin,ITA,1424.0
2,115,Real Betis,31.0,Seville,ESP,Young Boys,32.5,Bern,SUI,1531.0
2,116,Real Betis,31.0,Seville,ESP,Inter,90.0,Milan,ITA,1547.0
2,117,Qarabağ,26.0,Baku,AZE,Crvena zvezda,40.0,Belgrade,SRB,2446.0
