replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,113,Viktoria Plzeň,17.0,Plzeň,CZE,Salzburg,49.0,Salzburg,AUT,215.0
1,114,Viktoria Plzeň,17.0,Plzeň,CZE,RB Leipzig,87.0,Leipzig,GER,183.0
1,115,Viktoria Plzeň,17.0,Plzeň,CZE,Slovan Bratislava,26.5,Bratislava,SVK,346.0
1,116,Viktoria Plzeň,17.0,Plzeň,CZE,Maribor,9.5,Maribor,SVN,404.0
1,117,Osasuna,15.922,Pamplona,ESP,Lyon,44.0,Lyon,FRA,611.0
1,118,Osasuna,15.922,Pamplona,ESP,Nice,17.0,Nice,FRA,728.0
1,119,Osasuna,15.922,Pamplona,ESP,Monaco,24.0,Monaco,FRA,740.0
1,120,Osasuna,15.922,Pamplona,ESP,Arsenal,58.0,London,ENG,974.0
1,121,Genk,13.0,Genk,BEL,PSV,43.0,Eindhoven,NED,53.0
1,122,Genk,13.0,Genk,BEL,Twente,11.42,Enschede,NED,169.0
1,123,Genk,13.0,Genk,BEL,Chelsea,96.0,London,ENG,398.0
1,124,Genk,13.0,Genk,BEL,Real Sociedad,42.0,San Sebastián,ESP,1021.0
1,125,Rijeka,12.0,Rijeka,CRO,Fiorentina,24.0,Florence,ITA,306.0
1,126,Rijeka,12.0,Rijeka,CRO,Bayern,126.0,Munich,GER,381.0
1,127,Rijeka,12.0,Rijeka,CRO,AC Milan,49.0,Milan,ITA,410.0
1,128,Rijeka,12.0,Rijeka,CRO,Viktoria Plzeň,17.0,Plzeň,CZE,503.0
1,129,Twente,11.42,Enschede,NED,Eintracht Frankfurt,57.0,Frankfurt,GER,266.0
1,130,Twente,11.42,Enschede,NED,Brighton,18.635,Brighton,ENG,513.0
1,131,Twente,11.42,Enschede,NED,Hearts,6.53,Edinburgh,SCO,776.0
1,132,Twente,11.42,Enschede,NED,Roma,86.0,Rome,ITA,1222.0
1,133,Maribor,9.5,Maribor,SVN,Rijeka,12.0,Rijeka,CRO,165.0
