team_name,association,city,uefa_coefficient,total_distance,mean_distance,median_distance
Real Madrid,ESP,Madrid,112.0,289864,1895,1728.0
Braga,POR,Braga,48.0,321944,2104,1996.0
FC Porto,POR,Porto,66.0,326697,2135,2027.0
KÍ Klaksvík,FRO,Klaksvík,10.0,337915,2209,2178.0
Sevilla,ESP,Seville,84.0,339462,2219,2075.0
Real Betis,ESP,Seville,31.0,339462,2219,2075.0
Lincoln Red Imps,GIB,Gibraltar,9.0,348475,2278,2128.0
Magpies,GIB,Gibraltar,2.0,348475,2278,2128.0
Europa,GIB,Gibraltar,5.5,348475,2278,2128.0
Adana Demirspor,TUR,Adana,7.07,350741,2292,2366.0
Sporting CP,POR,Lisbon,45.5,353727,2312,2160.0
Benfica,POR,Lisbon,69.0,353727,2312,2160.0
APOEL,CYP,Nicosia,14.5,353861,2313,2374.0
Aris Limassol,CYP,Limassol,4.37,356582,2331,2381.0
AEK Larnaca,CYP,Larnaca,8.0,358854,2345,2411.0
Bodø/Glimt,NOR,Bodø,24.5,360126,2354,2296.0
Dinamo Batumi,GEO,Batumi,5.5,371643,2429,2437.0
Dila,GEO,Gori,4.0,392522,2566,2609.0
Maccabi Haifa,ISR,Haifa,14.0,394358,2578,2657.0
Dinamo Tbilisi,GEO,Tbilisi,8.0,401030,2621,2673.0
Urartu,ARM,Yerevan,3.5,408921,2673,2669.0
Pyunik,ARM,Yerevan,9.5,408921,2673,2669.0
Ararat-Armenia,ARM,Yerevan,8.0,408921,2673,2669.0
H. Beer Sheva,ISR,Beer Sheva,17.0,412202,2694,2763.0
Víkingur Reykjavík,ISL,Reykjavík,4.0,444370,2904,2825.0
Sabah,AZE,Baku,3.575,463469,3029,3111.0
Qarabağ,AZE,Baku,26.0,463469,3029,3111.0
Neftçi,AZE,Baku,10.0,463469,3029,3111.0
Ordabasy,KAZ,Shymkent,4.0,663575,4337,4350.0
