replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
2,6,Manchester City,130.0,Manchester,ENG,Ajax,64.0,Amsterdam,NED,495.0
2,7,Manchester City,130.0,Manchester,ENG,Antwerp,21.0,Antwerp,BEL,516.0
2,8,Manchester City,130.0,Manchester,ENG,Paris Saint-Germain,101.0,Paris,FRA,606.0
2,9,Bayern,126.0,Munich,GER,Atalanta,58.0,Bergamo,ITA,307.0
2,10,Bayern,126.0,Munich,GER,Young Boys,32.5,Bern,SUI,337.0
2,11,Bayern,126.0,Munich,GER,Rapid Wien,14.0,Vienna,AUT,355.0
2,12,Bayern,126.0,Munich,GER,Chelsea,96.0,London,ENG,919.0
2,13,Real Madrid,112.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
2,14,Real Madrid,112.0,Madrid,ESP,Benfica,69.0,Lisbon,POR,502.0
2,15,Real Madrid,112.0,Madrid,ESP,Aston Villa,18.635,Birmingham,ENG,1351.0
2,16,Real Madrid,112.0,Madrid,ESP,Liverpool,100.0,Liverpool,ENG,1446.0
2,17,Paris Saint-Germain,101.0,Paris,FRA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,413.0
2,18,Paris Saint-Germain,101.0,Paris,FRA,AZ Alkmaar,48.0,Alkmaar,NED,453.0
2,19,Paris Saint-Germain,101.0,Paris,FRA,Manchester United,91.0,Manchester,ENG,606.0
2,20,Paris Saint-Germain,101.0,Paris,FRA,VfL Wolfsburg,22.5,Wolfsburg,GER,714.0
2,21,Liverpool,100.0,Liverpool,ENG,Lille,35.0,Lille,FRA,517.0
2,22,Liverpool,100.0,Liverpool,ENG,Borussia Dortmund,75.0,Dortmund,GER,739.0
2,23,Liverpool,100.0,Liverpool,ENG,Bayern,126.0,Munich,GER,1178.0
2,24,Liverpool,100.0,Liverpool,ENG,Legia Warszawa,13.0,Warsaw,POL,1611.0
2,25,Chelsea,96.0,London,ENG,Real Sociedad,42.0,San Sebastián,ESP,921.0
2,26,Chelsea,96.0,London,ENG,Barcelona,78.0,Barcelona,ESP,1139.0
2,27,Chelsea,96.0,London,ENG,Atlético de Madrid,73.0,Madrid,ESP,1263.0
2,28,Chelsea,96.0,London,ENG,Fenerbahçe,28.0,Istanbul,TUR,2501.0
2,29,Manchester United,91.0,Manchester,ENG,AC Milan,49.0,Milan,ITA,1212.0
2,30,Manchester United,91.0,Manchester,ENG,Real Madrid,112.0,Madrid,ESP,1457.0
2,31,Manchester United,91.0,Manchester,ENG,APOEL,14.5,Nicosia,CYP,3431.0
2,32,Manchester United,91.0,Manchester,ENG,Roma,86.0,Rome,ITA,1689.0
2,33,Inter,90.0,Milan,ITA,Crvena zvezda,40.0,Belgrade,SRB,886.0
2,34,Inter,90.0,Milan,ITA,Villarreal,68.0,Villarreal,ESP,973.0
2,35,Inter,90.0,Milan,ITA,Manchester City,130.0,Manchester,ENG,1212.0
2,36,Inter,90.0,Milan,ITA,Qarabağ,26.0,Baku,AZE,3326.0
2,37,Roma,86.0,Rome,ITA,Young Boys,32.5,Bern,SUI,689.0
2,38,Roma,86.0,Rome,ITA,Bayern,126.0,Munich,GER,697.0
2,39,Roma,86.0,Rome,ITA,Rapid Wien,14.0,Vienna,AUT,764.0
2,40,Roma,86.0,Rome,ITA,Villarreal,68.0,Villarreal,ESP,1079.0
2,41,Borussia Dortmund,75.0,Dortmund,GER,Ajax,64.0,Amsterdam,NED,200.0
2,42,Borussia Dortmund,75.0,Dortmund,GER,Antwerp,21.0,Antwerp,BEL,215.0
2,43,Borussia Dortmund,75.0,Dortmund,GER,AZ Alkmaar,48.0,Alkmaar,NED,223.0
2,44,Borussia Dortmund,75.0,Dortmund,GER,Paris Saint-Germain,101.0,Paris,FRA,469.0
2,45,Atlético de Madrid,73.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
2,46,Atlético de Madrid,73.0,Madrid,ESP,Benfica,69.0,Lisbon,POR,502.0
2,47,Atlético de Madrid,73.0,Madrid,ESP,Inter,90.0,Milan,ITA,1188.0
2,48,Atlético de Madrid,73.0,Madrid,ESP,Lens,11.266,Lens,FRA,1223.0
2,49,Benfica,69.0,Lisbon,POR,Real Sociedad,42.0,San Sebastián,ESP,788.0
2,50,Benfica,69.0,Lisbon,POR,Barcelona,78.0,Barcelona,ESP,1006.0
2,51,Benfica,69.0,Lisbon,POR,Roma,86.0,Rome,ITA,1863.0
2,52,Benfica,69.0,Lisbon,POR,Aston Villa,18.635,Birmingham,ENG,1636.0
2,53,Villarreal,68.0,Villarreal,ESP,Lyon,44.0,Lyon,FRA,759.0
2,54,Villarreal,68.0,Villarreal,ESP,Atalanta,58.0,Bergamo,ITA,1019.0
2,55,Villarreal,68.0,Villarreal,ESP,Chelsea,96.0,London,ENG,1283.0
