match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
122,Dynamo Kyiv,26.5,Bucharest,UKR,Bayer 04 Leverkusen,78.0,Leverkusen,GER
123,Dynamo Kyiv,26.5,Bucharest,UKR,PSV,53.0,Eindhoven,NED
124,Dynamo Kyiv,26.5,Bucharest,UKR,Mönchengladbach,21.0,Mönchengladbach,GER
125,Monaco,24.0,Monaco,FRA,RB Leipzig,96.0,Leipzig,GER
126,Monaco,24.0,Monaco,FRA,FC Porto,75.0,Porto,POR
127,Monaco,24.0,Monaco,FRA,Salzburg,50.0,Salzburg,AUT
128,Monaco,24.0,Monaco,FRA,Dynamo Kyiv,26.5,Bucharest,UKR
129,Mönchengladbach,21.0,Mönchengladbach,GER,Manchester United,92.0,Manchester,ENG
130,Mönchengladbach,21.0,Mönchengladbach,GER,Arsenal,68.0,London,ENG
131,Mönchengladbach,21.0,Mönchengladbach,GER,AZ Alkmaar,50.0,Alkmaar,NED
132,Mönchengladbach,21.0,Mönchengladbach,GER,Monaco,24.0,Monaco,FRA
133,Nice,17.0,Nice,FRA,Roma,91.0,Rome,ITA
134,Nice,17.0,Nice,FRA,West Ham,65.0,London,ENG
135,Nice,17.0,Nice,FRA,Braga,49.0,Braga,POR
136,Nice,17.0,Nice,FRA,Lugano,8.0,Lugano,SUI
137,Čukarički,8.0,Belgrade,SRB,Barcelona,85.0,Barcelona,ESP
138,Čukarički,8.0,Belgrade,SRB,Eintracht Frankfurt,60.0,Frankfurt,GER
139,Čukarički,8.0,Belgrade,SRB,Lyon,44.0,Lyon,FRA
140,Čukarički,8.0,Belgrade,SRB,Nice,17.0,Nice,FRA
141,Lugano,8.0,Lugano,SUI,Sevilla,84.0,Seville,ESP
142,Lugano,8.0,Lugano,SUI,Feyenoord,57.0,Rotterdam,NED
143,Lugano,8.0,Lugano,SUI,Crvena zvezda,40.0,Belgrade,SRB
144,Lugano,8.0,Lugano,SUI,Čukarički,8.0,Belgrade,SRB
