run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
4675,4634,1035,166823,Fenerbahçe - 8706,Fenerbahçe (istanbul) v Villarreal (villarreal) - 2450.0
4676,5068,1135,182439,Benfica - 9148,KÍ Klaksvík (klaksvík) v Benfica (lisbon) - 2619.0
4677,4818,1090,173439,Sevilla - 9797,Riga (riga) v Sevilla (seville) - 3101.0
4678,4836,1109,174093,Sevilla - 8519,Sevilla (seville) v Dinamo Minsk (minsk) - 3143.0
4679,5265,1182,189534,Qarabağ - 15237,FC Porto (porto) v Qarabağ (baku) - 4831.0
4680,4469,1006,160868,Crvena zvezda - 7210,Benfica (lisbon) v Copenhagen (copenhagen) - 2477.0
4681,5324,1204,191679,Bodø/Glimt - 10519,Bodø/Glimt (bodø) v Galatasaray (istanbul) - 3054.0
4682,5792,1303,208496,Bodø/Glimt - 12744,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
4683,5756,1325,207228,Dinamo Tbilisi - 12294,Liverpool (liverpool) v Dinamo Tbilisi (tbilisi) - 3733.0
4684,6126,1375,220529,Galatasaray - 13057,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
4685,5709,1311,205517,Maccabi Haifa - 12262,Maccabi Haifa (haifa) v Arsenal (london) - 3511.0
4686,4976,1123,179136,Beşiktaş - 8690,Manchester City (manchester) v Beşiktaş (istanbul) - 2703.0
4687,4852,1107,174663,H. Beer Sheva - 12610,H. Beer Sheva (beer sheva) v Rennes (rennes) - 3591.0
4688,5233,1180,188384,Maccabi Haifa - 11802,Maccabi Haifa (haifa) v Liverpool (liverpool) - 3772.0
4689,5341,1211,192290,Neftçi - 15076,Braga (braga) v Neftçi (baku) - 4804.0
4690,5648,1253,203316,Qarabağ - 19855,Real Madrid (madrid) v Qarabağ (baku) - 4466.0
4691,5211,1164,187595,Galatasaray - 12467,Sevilla (seville) v Galatasaray (istanbul) - 3019.0
4692,5526,1253,198926,Qarabağ - 16186,Benfica (lisbon) v Qarabağ (baku) - 4968.0
4693,5309,1212,191140,Pyunik - 13110,Pyunik (yerevan) v Sporting CP (lisbon) - 4538.0
4694,5642,1267,203099,Bodø/Glimt - 11382,FC Porto (porto) v Bodø/Glimt (bodø) - 3224.0
4695,5372,1211,193407,Dynamo Kyiv - 9004,HJK (helsinki) v Sevilla (seville) - 3339.0
4696,5727,1302,206183,Qarabağ - 16172,Benfica (lisbon) v Qarabağ (baku) - 4968.0
