run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
1954,5319,1192,191490,Galatasaray - 10128,FC Porto (porto) v HJK (helsinki) - 3113.0
1955,5205,1166,187364,Olympiacos - 9530,Aberdeen (aberdeen) v Olympiacos (piraeus) - 2844.0
1956,5428,1216,195410,Qarabağ - 18347,Rangers (glasgow) v Qarabağ (baku) - 4240.0
1957,4943,1116,177950,Beşiktaş - 9490,Sporting CP (lisbon) v Beşiktaş (istanbul) - 3237.0
1958,4879,1095,175653,Dynamo Kyiv - 8535,Dynamo Kyiv (bucharest) v FC Porto (porto) - 2834.0
1959,5441,1217,195892,Olympiacos - 12075,Galatasaray (istanbul) v Celtic (glasgow) - 2912.0
1960,5838,1325,210155,Qarabağ - 15763,Real Sociedad (san sebastián) v Qarabağ (baku) - 4239.0
1961,4761,1080,171395,Olympiacos - 10529,Bodø/Glimt (bodø) v Real Madrid (madrid) - 3186.0
1962,5310,1210,191156,Sevilla - 8898,HJK (helsinki) v Sevilla (seville) - 3339.0
1963,5373,1211,193431,Galatasaray - 11990,Bodø/Glimt (bodø) v Braga (braga) - 3178.0
1964,5456,1235,196424,Sevilla - 10122,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
1965,4634,1032,166825,Real Betis - 9263,Lech Poznań (poznań) v Real Betis (seville) - 2438.0
1966,5144,1153,185179,Sevilla - 11333,Flora Tallinn (tallinn) v Sevilla (seville) - 3283.0
1967,5727,1284,206175,Maccabi Haifa - 12739,Liverpool (liverpool) v Maccabi Haifa (haifa) - 3772.0
1968,5442,1221,195912,Real Betis - 9743,Benfica (lisbon) v Galatasaray (istanbul) - 3237.0
1969,5583,1251,200998,Sevilla - 10126,RFS (riga) v Real Madrid (madrid) - 2713.0
1970,5571,1268,200551,Bodø/Glimt - 13876,Arsenal (london) v H. Beer Sheva (beer sheva) - 3625.0
1971,5657,1293,203653,Qarabağ - 14647,Qarabağ (baku) v Benfica (lisbon) - 4968.0
1972,5132,1153,184747,Fenerbahçe - 10932,FC Porto (porto) v Fenerbahçe (istanbul) - 3126.0
1973,5196,1186,187068,Galatasaray - 9308,Galatasaray (istanbul) v Sevilla (seville) - 3019.0
1974,5711,1272,205613,Qarabağ - 17295,Qarabağ (baku) v FC Porto (porto) - 4831.0
1975,6036,1371,217292,Qarabağ - 14842,FC Porto (porto) v Qarabağ (baku) - 4831.0
1976,5341,1220,192271,APOEL - 13613,Sporting CP (lisbon) v APOEL (nicosia) - 3765.0
1977,5056,1136,182005,Atlético de Madrid - 8331,Fenerbahçe (istanbul) v Sevilla (seville) - 3019.0
1978,5144,1171,185202,Galatasaray - 11242,Sporting CP (lisbon) v Galatasaray (istanbul) - 3237.0
1979,5096,1152,183446,Benfica - 9097,Flora Tallinn (tallinn) v Benfica (lisbon) - 3311.0
1980,5573,1272,200621,Bodø/Glimt - 10099,Bodø/Glimt (bodø) v Lincoln Red Imps (gibraltar) - 3682.0
1981,5466,1242,196775,Qarabağ - 15737,Atlético de Madrid (madrid) v Qarabağ (baku) - 4466.0
1982,5205,1166,187392,Bodø/Glimt - 11490,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
1983,6071,1369,218541,Qarabağ - 15416,Qarabağ (baku) v Benfica (lisbon) - 4968.0
1984,4944,1123,177973,Galatasaray - 9374,Galatasaray (istanbul) v Sevilla (seville) - 3019.0
1985,5579,1261,200828,H. Beer Sheva - 13653,FC Porto (porto) v H. Beer Sheva (beer sheva) - 4001.0
1986,5679,1278,204452,Qarabağ - 14387,Qarabağ (baku) v Atlético de Madrid (madrid) - 4466.0
1987,5183,1174,186571,Sheriff - 10123,Benfica (lisbon) v Sheriff (tiraspol) - 3264.0
1988,4909,1108,176715,Benfica - 9122,Real Betis (seville) v Fenerbahçe (istanbul) - 3019.0
1989,5375,1214,193492,Bodø/Glimt - 10501,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
1990,5538,1245,199366,Maccabi Haifa - 11950,Maccabi Haifa (haifa) v Hearts (edinburgh) - 3896.0
1991,5371,1220,193355,Dinamo Batumi - 13388,Rangers (glasgow) v Dinamo Batumi (batumi) - 3639.0
1992,4872,1094,175379,Sevilla - 9586,Fenerbahçe (istanbul) v Real Madrid (madrid) - 2739.0
1993,5227,1170,188178,Bodø/Glimt - 13761,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
1994,5043,1144,181550,Rangers - 7518,Hamrun Spartans FC (ħamrun) v Rangers (glasgow) - 2635.0
1995,5413,1226,194852,Galatasaray - 11992,Benfica (lisbon) v Galatasaray (istanbul) - 3237.0
1996,5548,1271,199737,APOEL - 11349,APOEL (nicosia) v Sevilla (seville) - 3511.0
1997,5779,1313,208043,Dila - 12431,Dila (gori) v KÍ Klaksvík (klaksvík) - 3979.0
1998,5455,1231,196366,Qarabağ - 16154,Atlético de Madrid (madrid) v Qarabağ (baku) - 4466.0
1999,5713,1295,205657,Qarabağ - 14531,Qarabağ (baku) v Sevilla (seville) - 4767.0
2000,5071,1152,182557,Dynamo Kyiv - 8898,Benfica (lisbon) v Dynamo Kyiv (bucharest) - 2975.0
2001,5518,1252,198649,H. Beer Sheva - 11998,West Ham (london) v H. Beer Sheva (beer sheva) - 3625.0
2002,5524,1255,198872,AEK Larnaca - 9434,Sevilla (seville) v AEK Larnaca (larnaca) - 3542.0
2003,4686,1068,168709,Sevilla - 8237,Crvena zvezda (belgrade) v Benfica (lisbon) - 2530.0
2004,5047,1132,181696,Olympiacos - 10776,Milsami (orhei) v Sevilla (seville) - 3037.0
2005,4902,1107,176480,Crvena zvezda - 9176,Benfica (lisbon) v Zorya Luhansk (lublin) - 2825.0
2006,5038,1143,181364,Crvena zvezda - 8393,Galatasaray (istanbul) v KÍ Klaksvík (klaksvík) - 3329.0
2007,5719,1284,205878,Qarabağ - 19271,Braga (braga) v Qarabağ (baku) - 4804.0
2008,5273,1203,189812,Sevilla - 9666,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2009,4918,1123,177051,Real Betis - 7836,Dynamo Kyiv (bucharest) v Real Betis (seville) - 2788.0
2010,5057,1151,182038,Bodø/Glimt - 9362,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2011,6120,1386,220305,APOEL - 13337,Celtic (glasgow) v APOEL (nicosia) - 3652.0
2012,5017,1137,180596,Real Betis - 8883,Copenhagen (copenhagen) v Benfica (lisbon) - 2477.0
2013,5463,1244,196660,H. Beer Sheva - 13208,Manchester City (manchester) v H. Beer Sheva (beer sheva) - 3848.0
2014,5270,1181,189705,Benfica - 11630,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
2015,5040,1135,181425,Sevilla - 10086,Rangers (glasgow) v Fenerbahçe (istanbul) - 2912.0
2016,5070,1132,182502,Sevilla - 9748,Rangers (glasgow) v Galatasaray (istanbul) - 2912.0
2017,5320,1208,191505,Bodø/Glimt - 10093,Atlético de Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
2018,6039,1357,217398,Qarabağ - 14453,Qarabağ (baku) v Sevilla (seville) - 4767.0
2019,5166,1155,185977,Bodø/Glimt - 12370,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2020,5535,1247,199247,Galatasaray - 11960,Galatasaray (istanbul) v Real Betis (seville) - 3019.0
2021,4714,1073,169710,CSKA-Sofia - 8150,Sevilla (seville) v HJK (helsinki) - 3339.0
2022,5708,1268,205471,Qarabağ - 18803,Real Betis (seville) v Qarabağ (baku) - 4767.0
2023,6072,1372,218580,Qarabağ - 16007,Qarabağ (baku) v Benfica (lisbon) - 4968.0
2024,5469,1222,196871,Bodø/Glimt - 12374,Fenerbahçe (istanbul) v Sporting CP (lisbon) - 3237.0
2025,5566,1251,200385,Maccabi Haifa - 12134,Maccabi Haifa (haifa) v Benfica (lisbon) - 3997.0
2026,5624,1263,202459,Galatasaray - 10076,BATE Borisov (borisov) v Sporting CP (lisbon) - 3301.0
2027,5488,1254,197572,Real Betis - 9363,Bodø/Glimt (bodø) v Galatasaray (istanbul) - 3054.0
2028,5112,1161,184048,Adana Demirspor - 11456,Adana Demirspor (adana) v Rangers (glasgow) - 3612.0
2029,4874,1102,175459,Galatasaray - 8169,Celtic (glasgow) v Galatasaray (istanbul) - 2912.0
2030,4820,1089,173510,Aris Limassol - 11970,Lincoln Red Imps (gibraltar) v Aris Limassol (limassol) - 3458.0
2031,4995,1114,179828,Fenerbahçe - 12616,Rangers (glasgow) v Fenerbahçe (istanbul) - 2912.0
2032,4950,1122,178205,Fenerbahçe - 8492,Real Madrid (madrid) v Fenerbahçe (istanbul) - 2739.0
2033,5080,1147,182865,CFR Cluj - 10312,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
2034,5446,1224,196049,H. Beer Sheva - 11459,Manchester City (manchester) v H. Beer Sheva (beer sheva) - 3848.0
2035,5141,1175,185083,Bodø/Glimt - 9641,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
2036,5439,1224,195810,Galatasaray - 9850,Legia Warszawa (warsaw) v Benfica (lisbon) - 2759.0
2037,5200,1162,187216,Bodø/Glimt - 11745,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
2038,6170,1395,222134,H. Beer Sheva - 13225,Bodø/Glimt (bodø) v H. Beer Sheva (beer sheva) - 4225.0
2039,5854,1326,210735,H. Beer Sheva - 12022,Celtic (glasgow) v H. Beer Sheva (beer sheva) - 4078.0
2040,5447,1224,196078,H. Beer Sheva - 13859,Manchester United (manchester) v H. Beer Sheva (beer sheva) - 3848.0
2041,5408,1230,194697,H. Beer Sheva - 12524,Real Betis (seville) v H. Beer Sheva (beer sheva) - 3776.0
2042,4842,1107,174323,Beşiktaş - 8680,Sheriff (tiraspol) v Real Betis (seville) - 3099.0
2043,5283,1185,190190,Galatasaray - 13568,Sevilla (seville) v Galatasaray (istanbul) - 3019.0
2044,5185,1175,186646,Bodø/Glimt - 12162,FC Porto (porto) v Bodø/Glimt (bodø) - 3224.0
2045,4760,1073,171352,Braga - 9936,Sevilla (seville) v Malmö FF (malmö) - 2479.0
2046,4972,1141,178977,Braga - 8666,Sevilla (seville) v Milsami (orhei) - 3037.0
2047,5336,1221,192093,Atlético de Madrid - 9503,Real Betis (seville) v HJK (helsinki) - 3339.0
2048,5598,1284,201540,Bodø/Glimt - 11730,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
2049,5307,1213,191044,H. Beer Sheva - 13241,FC Porto (porto) v H. Beer Sheva (beer sheva) - 4001.0
2050,5294,1207,190599,APOEL - 9999,APOEL (nicosia) v FC Porto (porto) - 3694.0
2051,5632,1272,202755,Fenerbahçe - 12087,H. Beer Sheva (beer sheva) v Manchester City (manchester) - 3848.0
2052,5740,1276,206644,Bodø/Glimt - 10884,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
2053,5464,1238,196696,H. Beer Sheva - 12092,Braga (braga) v H. Beer Sheva (beer sheva) - 3989.0
2054,5233,1181,188389,Olympiacos - 10885,HJK (helsinki) v Atlético de Madrid (madrid) - 2948.0
2055,5045,1133,181609,Crvena zvezda - 8640,Legia Warszawa (warsaw) v Benfica (lisbon) - 2759.0
2056,5115,1157,184151,Bodø/Glimt - 10276,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
2057,5214,1179,187714,AEK Larnaca - 12125,Rangers (glasgow) v AEK Larnaca (larnaca) - 3690.0
2058,4998,1136,179934,Petrocub - 8831,Sevilla (seville) v Petrocub (hîncești) - 3010.0
2059,5671,1279,204170,Pyunik - 10235,Pyunik (yerevan) v Tottenham Hotspur (london) - 3614.0
2060,4481,1013,161304,Sevilla - 8641,Sevilla (seville) v Copenhagen (copenhagen) - 2463.0
2061,5298,1191,190718,Galatasaray - 11319,Galatasaray (istanbul) v Braga (braga) - 3103.0
2062,4769,1072,171684,RB Leipzig - 7466,Crvena zvezda (belgrade) v Real Betis (seville) - 2350.0
2063,5164,1153,185887,Olympiacos - 9045,Braga (braga) v RFS (riga) - 2874.0
2064,6345,1426,228421,Dinamo Tbilisi - 13376,Dinamo Tbilisi (tbilisi) v FC Porto (porto) - 4379.0
2065,5270,1183,189708,Bodø/Glimt - 9380,Beşiktaş (istanbul) v Sevilla (seville) - 3019.0
2066,5267,1177,189600,Sheriff - 10775,Sporting CP (lisbon) v Sheriff (tiraspol) - 3264.0
2067,4789,1085,172387,Olympiacos - 7941,Olympiacos (piraeus) v Celtic (glasgow) - 2872.0
2068,5715,1286,205744,Fenerbahçe - 12450,Sporting CP (lisbon) v Dynamo Kyiv (bucharest) - 2975.0
2069,5110,1159,183960,FC Porto - 8178,Galatasaray (istanbul) v Sevilla (seville) - 3019.0
2070,4935,1120,177645,AEK Larnaca - 11923,AEK Larnaca (larnaca) v Benfica (lisbon) - 3797.0
2071,5225,1182,188093,Adana Demirspor - 9425,Adana Demirspor (adana) v Manchester United (manchester) - 3407.0
2072,5407,1235,194657,Fenerbahçe - 10166,Víkingur Reykjavík (reykjavík) v Fenerbahçe (istanbul) - 4115.0
2073,5026,1124,180920,Qarabağ - 19109,Qarabağ (baku) v FC Porto (porto) - 4831.0
2074,4989,1105,179618,Sevilla - 9638,Sevilla (seville) v Partizan (belgrade) - 2350.0
2075,4825,1086,173699,Bodø/Glimt - 11450,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
2076,4773,1082,171830,Fenerbahçe - 9571,Fenerbahçe (istanbul) v FC Porto (porto) - 3126.0
2077,6005,1350,216182,Crvena zvezda - 10488,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
2078,5099,1154,183559,Maccabi Haifa - 13488,Maccabi Haifa (haifa) v Liverpool (liverpool) - 3772.0
2079,5216,1171,187768,Beşiktaş - 8967,Sporting CP (lisbon) v Beşiktaş (istanbul) - 3237.0
2080,5801,1311,208819,Qarabağ - 15827,Qarabağ (baku) v Sevilla (seville) - 4767.0
2081,5743,1299,206765,H. Beer Sheva - 15347,H. Beer Sheva (beer sheva) v Rangers (glasgow) - 4078.0
2082,4947,1117,178079,H. Beer Sheva - 13432,H. Beer Sheva (beer sheva) v Celtic (glasgow) - 4078.0
2083,5062,1129,182249,Crvena zvezda - 9497,Fenerbahçe (istanbul) v Rangers (glasgow) - 2912.0
2084,5363,1213,193063,Fenerbahçe - 11515,Fenerbahçe (istanbul) v Sporting CP (lisbon) - 3237.0
2085,5072,1142,182603,Lincoln Red Imps - 8310,Dynamo Kyiv (bucharest) v Lincoln Red Imps (gibraltar) - 2802.0
2086,6525,1498,234890,Ordabasy - 18490,Sevilla (seville) v Ordabasy (shymkent) - 6258.0
2087,5392,1226,194115,H. Beer Sheva - 13007,Manchester City (manchester) v H. Beer Sheva (beer sheva) - 3848.0
2088,4651,1046,167442,Sporting CP - 8393,HJK (helsinki) v Sporting CP (lisbon) - 3360.0
2089,5567,1249,200412,Olympiacos - 10469,Fenerbahçe (istanbul) v Atlético de Madrid (madrid) - 2739.0
2090,5180,1161,186487,Olympiacos - 11217,CFR Cluj (cluj-napoca) v FC Porto (porto) - 2634.0
2091,5062,1143,182222,Beşiktaş - 9813,Sporting CP (lisbon) v Beşiktaş (istanbul) - 3237.0
2092,4738,1062,170577,Crvena zvezda - 9364,Bodø/Glimt (bodø) v Real Madrid (madrid) - 3186.0
2093,5305,1212,190974,Qarabağ - 14654,Qarabağ (baku) v Braga (braga) - 4804.0
2094,5244,1177,188770,Galatasaray - 11440,FC Porto (porto) v Galatasaray (istanbul) - 3126.0
2095,5291,1188,190469,Bodø/Glimt - 10640,Benfica (lisbon) v Bodø/Glimt (bodø) - 3495.0
2096,5377,1217,193574,Galatasaray - 9535,Bodø/Glimt (bodø) v Galatasaray (istanbul) - 3054.0
2097,5536,1256,199306,Qarabağ - 14154,Qarabağ (baku) v FC Porto (porto) - 4831.0
2098,5054,1145,181940,Fenerbahçe - 11709,Benfica (lisbon) v Fenerbahçe (istanbul) - 3237.0
2099,5762,1297,207425,Qarabağ - 13555,Qarabağ (baku) v FC Porto (porto) - 4831.0
2100,5466,1227,196758,Bodø/Glimt - 10740,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2101,5509,1231,198320,H. Beer Sheva - 12351,H. Beer Sheva (beer sheva) v Sevilla (seville) - 3776.0
2102,5110,1162,183975,APOEL - 10426,Rangers (glasgow) v APOEL (nicosia) - 3652.0
2103,5322,1203,191600,H. Beer Sheva - 13091,Chelsea (london) v H. Beer Sheva (beer sheva) - 3625.0
2104,5623,1249,202433,Maccabi Haifa - 14942,Maccabi Haifa (haifa) v Liverpool (liverpool) - 3772.0
2105,4912,1107,176816,Napoli - 8084,Olympiacos (piraeus) v Benfica (lisbon) - 2849.0
2106,4795,1083,172622,APOEL - 11940,Liverpool (liverpool) v APOEL (nicosia) - 3475.0
2107,4503,1031,162108,Fenerbahçe - 9441,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
2108,5874,1309,211447,Bodø/Glimt - 12590,Bodø/Glimt (bodø) v Villarreal (villarreal) - 3165.0
2109,5605,1280,201777,APOEL - 11520,Hearts (edinburgh) v APOEL (nicosia) - 3595.0
2110,5695,1309,205014,Pyunik - 12828,Braga (braga) v Pyunik (yerevan) - 4385.0
2111,5368,1199,193243,Manchester United - 9726,Galatasaray (istanbul) v Rangers (glasgow) - 2912.0
2112,5406,1217,194601,Maccabi Haifa - 12710,Maccabi Haifa (haifa) v Rangers (glasgow) - 3952.0
2113,4645,1047,167233,Villarreal - 7228,Sporting CP (lisbon) v Copenhagen (copenhagen) - 2477.0
2114,5210,1167,187561,Benfica - 8843,Sporting CP (lisbon) v Galatasaray (istanbul) - 3237.0
2115,5060,1137,182176,Crvena zvezda - 9351,Galatasaray (istanbul) v Braga (braga) - 3103.0
2116,5829,1319,209850,Qarabağ - 13358,FC Porto (porto) v Qarabağ (baku) - 4831.0
2117,5246,1192,188868,Ararat-Armenia - 12876,Sevilla (seville) v Ararat-Armenia (yerevan) - 4329.0
2118,4741,1066,170693,Olympiacos - 7684,Sevilla (seville) v Olympiacos (piraeus) - 2602.0
2119,5729,1308,206251,Qarabağ - 14311,Qarabağ (baku) v Sevilla (seville) - 4767.0
2120,5437,1242,195719,Maccabi Haifa - 11857,Maccabi Haifa (haifa) v Rangers (glasgow) - 3952.0
2121,5009,1134,180336,Sevilla - 9314,Crvena zvezda (belgrade) v Benfica (lisbon) - 2530.0
2122,5199,1180,187168,Qarabağ - 14927,Qarabağ (baku) v Celtic (glasgow) - 4240.0
2123,5921,1314,213147,Sevilla - 10331,Dynamo Kyiv (bucharest) v FC Porto (porto) - 2834.0
2124,5754,1298,207161,H. Beer Sheva - 12297,H. Beer Sheva (beer sheva) v Benfica (lisbon) - 4047.0
2125,5375,1217,193500,Bodø/Glimt - 11555,Braga (braga) v Bodø/Glimt (bodø) - 3178.0
2126,5113,1166,184084,Sporting CP - 9396,Lincoln Red Imps (gibraltar) v Beşiktaş (istanbul) - 3013.0
2127,5302,1197,190860,Fenerbahçe - 14726,Víkingur Reykjavík (reykjavík) v Fenerbahçe (istanbul) - 4115.0
2128,5757,1302,207255,H. Beer Sheva - 17016,H. Beer Sheva (beer sheva) v Liverpool (liverpool) - 3890.0
2129,5835,1301,210044,Bodø/Glimt - 11745,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
2130,5342,1197,192299,Galatasaray - 9677,Liverpool (liverpool) v Galatasaray (istanbul) - 2748.0
2131,5516,1240,198583,Sheriff - 10604,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
2132,5485,1243,197447,FC Porto - 9109,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
2133,5382,1190,193755,Qarabağ - 19487,Sporting CP (lisbon) v Qarabağ (baku) - 4968.0
2134,5116,1167,184182,Fenerbahçe - 7800,Sheriff (tiraspol) v Benfica (lisbon) - 3264.0
2135,5116,1162,184184,Fenerbahçe - 9364,KÍ Klaksvík (klaksvík) v Fenerbahçe (istanbul) - 3329.0
2136,5138,1161,184969,Olympiacos - 10001,Olympiacos (piraeus) v Hearts (edinburgh) - 2822.0
2137,6770,1534,243728,Neftçi - 17008,Benfica (lisbon) v Neftçi (baku) - 4968.0
2138,5621,1260,202344,Qarabağ - 17425,Qarabağ (baku) v Atlético de Madrid (madrid) - 4466.0
2139,5796,1309,208657,Sporting CP - 12688,Maccabi Haifa (haifa) v Sporting CP (lisbon) - 3997.0
2140,5563,1256,200265,Qarabağ - 15330,Qarabağ (baku) v Sporting CP (lisbon) - 4968.0
2141,5356,1207,192824,Sevilla - 10356,HJK (helsinki) v Sevilla (seville) - 3339.0
2142,5145,1157,185229,Benfica - 10074,Olympiacos (piraeus) v Celtic (glasgow) - 2872.0
2143,5323,1202,191645,Neftçi - 14990,Arsenal (london) v Neftçi (baku) - 3974.0
2144,4894,1098,176183,Galatasaray - 10423,Sevilla (seville) v Galatasaray (istanbul) - 3019.0
2145,5660,1289,203773,Qarabağ - 15832,Real Betis (seville) v Qarabağ (baku) - 4767.0
2146,5822,1295,209591,Qarabağ - 18126,Sporting CP (lisbon) v Qarabağ (baku) - 4968.0
2147,4638,1040,166960,Braga - 9120,Zorya Luhansk (lublin) v Braga (braga) - 2587.0
2148,5317,1192,191416,Galatasaray - 10424,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
2149,4798,1072,172731,FC Porto - 7818,Sevilla (seville) v Crvena zvezda (belgrade) - 2350.0
2150,5147,1163,185287,Olympiacos - 8887,Benfica (lisbon) v Dynamo Kyiv (bucharest) - 2975.0
2151,5381,1220,193729,Galatasaray - 9192,HJK (helsinki) v Sevilla (seville) - 3339.0
2152,5340,1195,192256,Fenerbahçe - 11463,Ludogorets (razgrad) v Real Betis (seville) - 2814.0
2153,5627,1269,202582,Sevilla - 10994,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2154,5400,1215,194415,Galatasaray - 10217,Benfica (lisbon) v Galatasaray (istanbul) - 3237.0
2155,5554,1252,199938,Bodø/Glimt - 13961,Manchester United (manchester) v Dinamo Tbilisi (tbilisi) - 3683.0
2156,5607,1249,201852,Qarabağ - 12702,Qarabağ (baku) v Manchester United (manchester) - 4112.0
2157,5477,1244,197156,APOEL - 11370,Flora Tallinn (tallinn) v Benfica (lisbon) - 3311.0
2158,5190,1167,186829,Maccabi Haifa - 13889,Sporting CP (lisbon) v Maccabi Haifa (haifa) - 3997.0
2159,5678,1290,204420,APOEL - 12879,Víkingur Reykjavík (reykjavík) v APOEL (nicosia) - 4868.0
2160,5803,1307,208902,Dinamo Tbilisi - 13271,Real Betis (seville) v Dinamo Tbilisi (tbilisi) - 4317.0
2161,5741,1298,206684,Qarabağ - 12513,Qarabağ (baku) v Manchester United (manchester) - 4112.0
2162,5083,1139,182992,Dynamo Kyiv - 11199,Braga (braga) v Dynamo Kyiv (bucharest) - 2807.0
2163,5820,1299,209507,Qarabağ - 17662,Real Betis (seville) v Qarabağ (baku) - 4767.0
2164,5011,1134,180407,Galatasaray - 9245,Sevilla (seville) v Flora Tallinn (tallinn) - 3283.0
2165,5457,1235,196460,Sevilla - 10481,APOEL (nicosia) v Manchester United (manchester) - 3431.0
2166,5317,1194,191407,Galatasaray - 11826,Sevilla (seville) v Dynamo Kyiv (bucharest) - 2788.0
2167,5179,1176,186431,Fenerbahçe - 9085,Fenerbahçe (istanbul) v Sevilla (seville) - 3019.0
2168,5249,1191,188960,Bodø/Glimt - 11382,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
2169,5185,1169,186646,Flora Tallinn - 11493,Flora Tallinn (tallinn) v Sevilla (seville) - 3283.0
2170,6224,1382,224050,Qarabağ - 20405,Braga (braga) v Qarabağ (baku) - 4804.0
2171,5595,1254,201410,Sevilla - 11395,Beşiktaş (istanbul) v Sevilla (seville) - 3019.0
2172,5348,1209,192538,Olympiacos - 9648,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
2173,5080,1164,182874,KÍ Klaksvík - 8416,KÍ Klaksvík (klaksvík) v Sevilla (seville) - 2762.0
2174,5224,1181,188046,Galatasaray - 9511,Galatasaray (istanbul) v Braga (braga) - 3103.0
2175,5245,1190,188803,RFS - 8860,Benfica (lisbon) v RFS (riga) - 3151.0
2176,4596,1034,165455,Galatasaray - 9300,Galatasaray (istanbul) v Aston Villa (birmingham) - 2630.0
2177,5054,1144,181930,Galatasaray - 9535,Galatasaray (istanbul) v Braga (braga) - 3103.0
2178,5204,1171,187334,FC Porto - 9188,Bodø/Glimt (bodø) v Real Betis (seville) - 3562.0
2179,6246,1429,224874,Qarabağ - 14829,Qarabağ (baku) v Braga (braga) - 4804.0
2180,5113,1154,184059,APOEL - 11183,APOEL (nicosia) v Liverpool (liverpool) - 3475.0
2181,5676,1285,204344,Maccabi Haifa - 12683,Liverpool (liverpool) v Maccabi Haifa (haifa) - 3772.0
2182,4966,1120,178767,Sporting CP - 10199,Crvena zvezda (belgrade) v Sporting CP (lisbon) - 2530.0
2183,5389,1222,194000,Adana Demirspor - 13020,Sporting CP (lisbon) v Adana Demirspor (adana) - 3869.0
2184,5967,1344,214795,Maccabi Haifa - 14697,FC Porto (porto) v Maccabi Haifa (haifa) - 3940.0
2185,5144,1149,185172,Fenerbahçe - 12233,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
2186,4823,1090,173629,Dynamo Kyiv - 9138,Celtic (glasgow) v Dynamo Kyiv (bucharest) - 2480.0
2187,5354,1196,192751,Benfica - 11312,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
2188,5769,1311,207680,AEK Larnaca - 11467,Rangers (glasgow) v AEK Larnaca (larnaca) - 3690.0
2189,5020,1119,180709,CFR Cluj - 10100,Galatasaray (istanbul) v Real Betis (seville) - 3019.0
2190,5264,1204,189496,Galatasaray - 12451,AEK Larnaca (larnaca) v Sporting CP (lisbon) - 3797.0
2191,4997,1118,179876,Crvena zvezda - 8720,Galatasaray (istanbul) v Manchester United (manchester) - 2703.0
2192,5142,1160,185123,Real Betis - 9986,Benfica (lisbon) v Crvena zvezda (belgrade) - 2530.0
2193,5698,1295,205116,H. Beer Sheva - 13939,FC Porto (porto) v H. Beer Sheva (beer sheva) - 4001.0
2194,5272,1191,189794,Bodø/Glimt - 9845,Bodø/Glimt (bodø) v Braga (braga) - 3178.0
2195,5709,1309,205541,H. Beer Sheva - 13403,H. Beer Sheva (beer sheva) v Manchester City (manchester) - 3848.0
2196,4684,1061,168608,Real Madrid - 7718,Sevilla (seville) v Crvena zvezda (belgrade) - 2350.0
2197,5318,1202,191443,H. Beer Sheva - 11674,H. Beer Sheva (beer sheva) v Manchester City (manchester) - 3848.0
2198,5245,1174,188810,Sheriff - 12168,Benfica (lisbon) v Sheriff (tiraspol) - 3264.0
2199,5091,1146,183293,Braga - 9962,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2200,4675,1053,168297,Galatasaray - 9259,Liverpool (liverpool) v Galatasaray (istanbul) - 2748.0
2201,5320,1193,191510,Sevilla - 11179,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
2202,5617,1273,202210,Pyunik - 14047,Real Betis (seville) v Pyunik (yerevan) - 4329.0
2203,5570,1266,200538,Fenerbahçe - 9520,Fenerbahçe (istanbul) v Real Betis (seville) - 3019.0
2204,4780,1087,172064,AEK Larnaca - 9987,AEK Larnaca (larnaca) v Manchester City (manchester) - 3469.0
2205,6081,1373,218932,Qarabağ - 16255,Real Madrid (madrid) v Qarabağ (baku) - 4466.0
2206,5343,1214,192351,Bodø/Glimt - 10002,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
2207,5211,1173,187589,Braga - 8456,Fenerbahçe (istanbul) v Braga (braga) - 3103.0
