match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
99,Rennes,43.0,Rennes,FRA,Copenhagen,51.5,Copenhagen,DEN,H
100,Rennes,43.0,Rennes,FRA,Real Betis,33.0,Seville,ESP,T
101,Crvena zvezda,40.0,Belgrade,SRB,Manchester City,141.0,Manchester,ENG,H
102,Crvena zvezda,40.0,Belgrade,SRB,Napoli,79.0,Naples,ITA,A
103,Crvena zvezda,40.0,Belgrade,SRB,Sporting CP,52.5,Lisbon,POR,A
104,Crvena zvezda,40.0,Belgrade,SRB,Fiorentina,31.0,Florence,ITA,H
105,Ferencváros,35.0,Budapest,HUN,Atlético de Madrid,84.0,Madrid,ESP,H
106,Ferencváros,35.0,Budapest,HUN,Juventus,80.0,Turin,ITA,A
107,Ferencváros,35.0,Budapest,HUN,PSV,53.0,Eindhoven,NED,A
108,Ferencváros,35.0,Budapest,HUN,Celtic,32.0,Glasgow,SCO,A
109,Real Betis,33.0,Seville,ESP,RB Leipzig,96.0,Leipzig,GER,A
110,Real Betis,33.0,Seville,ESP,Club Brugge,56.0,Bruges,BEL,T
111,Real Betis,33.0,Seville,ESP,Ferencváros,35.0,Budapest,HUN,H
112,Real Betis,33.0,Seville,ESP,H. Beer Sheva,17.0,Beer Sheva,ISR,H
113,Celtic,32.0,Glasgow,SCO,Atlético de Madrid,84.0,Madrid,ESP,A
114,Celtic,32.0,Glasgow,SCO,Feyenoord,57.0,Rotterdam,NED,T
115,Celtic,32.0,Glasgow,SCO,Rennes,43.0,Rennes,FRA,A
116,Celtic,32.0,Glasgow,SCO,Luzern,6.355,Luzern,SUI,H
117,Fiorentina,31.0,Florence,ITA,Sevilla,84.0,Seville,ESP,A
118,Fiorentina,31.0,Florence,ITA,Eintracht Frankfurt,60.0,Frankfurt,GER,A
119,Fiorentina,31.0,Florence,ITA,Lyon,44.0,Lyon,FRA,H
120,Fiorentina,31.0,Florence,ITA,Nice,17.0,Nice,FRA,A
121,Bodø/Glimt,29.5,Bodø,NOR,Barcelona,85.0,Barcelona,ESP,T
122,Bodø/Glimt,29.5,Bodø,NOR,Arsenal,68.0,London,ENG,H
123,Bodø/Glimt,29.5,Bodø,NOR,Crvena zvezda,40.0,Belgrade,SRB,H
124,Bodø/Glimt,29.5,Bodø,NOR,VfL Wolfsburg,22.5,Wolfsburg,GER,A
125,VfL Wolfsburg,22.5,Wolfsburg,GER,Manchester United,92.0,Manchester,ENG,A
126,VfL Wolfsburg,22.5,Wolfsburg,GER,Atalanta,68.0,Bergamo,ITA,H
127,VfL Wolfsburg,22.5,Wolfsburg,GER,Salzburg,50.0,Salzburg,AUT,A
128,VfL Wolfsburg,22.5,Wolfsburg,GER,Osasuna,17.222,Pamplona,ESP,H
129,Osasuna,17.222,Pamplona,ESP,Chelsea,96.0,London,ENG,A
130,Osasuna,17.222,Pamplona,ESP,FC Porto,75.0,Porto,POR,H
131,Osasuna,17.222,Pamplona,ESP,AZ Alkmaar,50.0,Alkmaar,NED,H
132,Osasuna,17.222,Pamplona,ESP,Bodø/Glimt,29.5,Bodø,NOR,T
133,H. Beer Sheva,17.0,Beer Sheva,ISR,Liverpool,107.0,Liverpool,ENG,A
134,H. Beer Sheva,17.0,Beer Sheva,ISR,Bayer 04 Leverkusen,78.0,Leverkusen,GER,T
