match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
135,Pyunik,9.5,Yerevan,ARM,Rangers,52.0,Glasgow,SCO,3919.0
136,Pyunik,9.5,Yerevan,ARM,Rennes,37.0,Rennes,FRA,3730.0
137,Ordabasy,4.0,Shymkent,KAZ,Sevilla,84.0,Seville,ESP,6258.0
138,Ordabasy,4.0,Shymkent,KAZ,Napoli,71.0,Naples,ITA,4521.0
139,Ordabasy,4.0,Shymkent,KAZ,Aston Villa,18.635,Birmingham,ENG,5252.0
140,Ordabasy,4.0,Shymkent,KAZ,Lyon,44.0,Lyon,FRA,5046.0
141,Víkingur Reykjavík,4.0,Reykjavík,ISL,Manchester City,130.0,Manchester,ENG,1622.0
142,Víkingur Reykjavík,4.0,Reykjavík,ISL,Ordabasy,4.0,Shymkent,KAZ,5925.0
143,Víkingur Reykjavík,4.0,Reykjavík,ISL,Real Betis,31.0,Seville,ESP,3154.0
144,Víkingur Reykjavík,4.0,Reykjavík,ISL,Benfica,69.0,Lisbon,POR,2946.0
